PID|MID|SID|SID2
312|12|9|5
1231|18|0|6
688|10|4|5
1643|10|8|2
1019|8|6|8
1148|9|9|8
1823|14|6|7
1526|12|7|5
150|6|2|2
1296|2|9|4
1094|10|1|2
1653|1|9|4
605|14|6|4
1241|12|0|3
305|17|6|1
1343|2|3|3
26|9|7|9
1457|5|2|9
1484|17|6|5
1960|3|3|3
1326|12|5|4
1357|10|0|5
522|18|2|6
104|13|3|9
94|7|7|3
91|16|3|8
1418|13|2|8
1091|18|2|8
1974|18|7|8
1152|11|8|4
1907|13|7|0
423|2|7|0
1375|4|9|6
673|7|2|7
1877|15|0|2
1867|11|0|7
921|14|9|9
490|6|5|8
1806|18|8|6
273|2|5|8
935|2|9|2
1793|9|9|1
157|6|0|8
1882|13|7|1
1703|15|0|0
1087|9|3|4
689|18|2|4
1749|18|4|4
1570|1|9|4
1516|7|7|9
1867|4|3|9
1002|13|3|7
1|10|0|6
482|1|9|5
684|1|9|7
1410|18|6|7
337|18|3|5
1924|9|6|9
83|7|9|6
1485|14|8|6
1073|4|9|7
1916|16|9|4
1727|10|0|3
1732|11|2|1
1561|10|3|2
1909|7|8|7
12|18|0|9
1138|16|2|1
646|14|8|5
366|18|4|9
1423|3|0|5
1378|12|2|2
1185|3|2|2
1844|3|4|7
516|13|7|5
900|7|3|5
264|16|6|6
1652|12|8|0
969|13|7|4
1738|11|9|5
750|7|7|5
1067|15|7|3
324|16|7|9
1584|18|5|5
221|16|1|3
1140|5|7|7
235|3|8|6
325|7|3|4
585|18|4|2
127|14|3|2
445|11|2|1
713|10|9|9
103|11|6|1
2000|13|9|0
1033|13|9|7
468|14|3|7
437|7|2|3
300|7|4|1
1888|11|0|1
1028|8|1|8
1507|8|8|7
1829|6|6|7
321|17|4|7
1243|14|8|7
1320|3|6|8
9|13|9|4
1547|8|0|0
1924|4|4|8
1018|10|4|6
1690|4|4|5
744|16|8|6
115|18|3|8
539|13|6|0
704|3|0|4
1972|2|9|0
30|11|1|8
130|18|1|6
95|13|2|2
1654|8|4|1
1093|10|9|5
1892|10|6|0
143|16|9|9
1666|9|9|3
1713|3|3|2
1277|13|5|4
1471|3|3|4
686|13|3|0
162|11|8|9
396|2|1|5
1057|15|8|0
777|8|4|1
832|18|3|7
1443|9|1|9
1304|11|3|4
834|11|3|0
1270|7|2|1
1996|8|6|3
148|12|0|5
213|7|5|4
1170|12|4|0
1860|6|1|2
35|3|6|9
1803|12|6|5
252|17|7|5
546|6|0|4
387|4|5|8
308|3|0|6
942|4|2|6
691|18|2|6
1358|5|4|8
1284|7|6|3
1453|8|1|2
1791|4|4|5
633|2|6|3
1513|13|9|5
1218|1|1|0
1745|13|3|8
239|2|1|3
277|7|7|2
570|12|0|3
1571|3|8|1
1412|6|4|4
1158|10|4|7
1717|13|5|2
1239|4|8|5
1995|16|6|7
413|16|4|6
819|17|5|0
321|9|0|3
931|14|9|6
1389|16|4|1
1063|12|5|7
1049|16|0|2
1797|9|0|9
660|1|1|1
1993|3|5|0
1447|2|7|8
579|13|5|6
1317|12|3|0
418|18|1|3
1999|10|1|7
227|11|7|2
1319|18|1|6
554|4|8|1
29|16|2|9
1547|10|1|2
30|16|7|3
155|14|5|5
1781|14|2|2
1030|16|1|8
1557|10|9|1
1418|6|6|4
128|5|5|7
1591|3|6|1
1048|1|4|8
1185|3|5|2
1991|13|6|8
1233|18|2|8
326|13|9|6
1693|10|4|1
1900|18|5|8
340|10|8|4
1993|17|0|5
1500|18|0|8
441|17|3|8
220|15|9|7
927|18|9|7
395|13|8|7
1407|6|4|2
350|1|6|0
703|16|7|9
1063|12|9|7
382|12|2|9
964|17|1|7
464|17|7|7
1478|8|1|4
1107|2|2|1
1325|17|4|5
1153|5|9|6
253|6|8|1
769|17|0|7
1597|14|8|2
1922|11|8|7
1639|5|8|7
421|18|6|3
1553|16|6|9
689|6|4|8
5|14|1|8
308|2|5|1
869|8|5|1
396|10|1|2
313|4|7|2
1584|2|1|5
250|6|8|3
1790|12|7|4
1972|12|2|5
1596|3|5|1
712|16|5|2
579|8|6|7
1730|11|7|4
1949|14|6|6
904|12|4|8
1641|17|3|3
1044|9|9|3
156|3|6|8
1658|9|7|7
104|15|9|7
1862|3|6|2
1798|2|0|0
1694|17|6|1
1677|4|2|8
1155|10|6|2
1657|8|4|2
1096|6|3|6
1429|12|5|3
503|18|3|0
1443|14|2|1
1224|6|4|6
502|12|1|7
1321|14|4|9
1971|1|5|8
362|3|0|1
1344|9|2|1
972|8|9|7
687|9|4|1
764|7|2|7
1903|18|4|2
1879|18|8|9
1758|16|3|5
